date,crop,headline,sentiment
2025-02-16 10:24:05.375562,cotton,Cotton prices stabilize after recent volatility,neutral
2025-02-16 10:24:05.375562,cotton,New trade deal may boost cotton exports,positive
2025-02-17 10:24:05.375562,cotton,Analysts predict strong cotton market for next quarter,positive
2025-02-18 10:24:05.375562,cotton,Report shows increased cotton stockpiles,negative
2025-02-19 10:24:05.375562,cotton,Weather conditions threaten cotton yield in major producing regions,negative
2025-02-19 10:24:05.375562,cotton,New trade deal may boost cotton exports,positive
2025-02-20 10:24:05.375562,cotton,Report shows increased cotton stockpiles,negative
2025-02-21 10:24:05.375562,cotton,Weather conditions threaten cotton yield in major producing regions,negative
2025-02-21 10:24:05.375562,cotton,Weather conditions threaten cotton yield in major producing regions,negative
2025-02-23 10:24:05.375562,cotton,Analysts predict strong cotton market for next quarter,positive
2025-02-23 10:24:05.375562,cotton,Cotton prices stabilize after recent volatility,neutral
2025-02-24 10:24:05.375562,cotton,Analysts predict strong cotton market for next quarter,positive
2025-02-24 10:24:05.375562,cotton,Global demand for cotton increases amid supply concerns,positive
2025-02-25 10:24:05.375562,cotton,Cotton prices stabilize after recent volatility,neutral
2025-02-25 10:24:05.375562,cotton,Weather conditions threaten cotton yield in major producing regions,negative
2025-02-27 10:24:05.375562,cotton,Analysts predict strong cotton market for next quarter,positive
2025-02-28 10:24:05.375562,cotton,New trade deal may boost cotton exports,positive
2025-02-28 10:24:05.375562,cotton,Report shows increased cotton stockpiles,negative
2025-03-03 10:24:05.375562,cotton,Weather conditions threaten cotton yield in major producing regions,negative
2025-03-03 10:24:05.375562,cotton,Cotton prices stabilize after recent volatility,neutral
2025-03-04 10:24:05.375562,cotton,Weather conditions threaten cotton yield in major producing regions,negative
2025-03-04 10:24:05.375562,cotton,Global demand for cotton increases amid supply concerns,positive
2025-03-05 10:24:05.375562,cotton,Cotton prices stabilize after recent volatility,neutral
2025-03-06 10:24:05.375562,cotton,Global demand for cotton increases amid supply concerns,positive
2025-03-07 10:24:05.375562,cotton,Global demand for cotton increases amid supply concerns,positive
2025-03-08 10:24:05.375562,cotton,Weather conditions threaten cotton yield in major producing regions,negative
2025-03-08 10:24:05.375562,cotton,Cotton prices stabilize after recent volatility,neutral
2025-03-09 10:24:05.375562,cotton,Cotton prices stabilize after recent volatility,neutral
2025-03-09 10:24:05.375562,cotton,Report shows increased cotton stockpiles,negative
2025-03-14 10:24:05.375562,cotton,Global demand for cotton increases amid supply concerns,positive
2025-03-15 10:24:05.375562,cotton,Analysts predict strong cotton market for next quarter,positive
